configured_delay_ms,valid_samples,total_samples,median_shaped_ms,median_ttft_ms,p10_ttft_ms,p90_ttft_ms,median_total_ms,median_transport_network_ms,median_effective_network_ms,median_raw_server_ttft_ms,median_corrected_server_ttft_ms,median_response_headers_ms,delta_ttft_vs_zero_ms,delta_shaped_vs_zero_ms,delta_raw_server_vs_zero_ms,delta_corrected_server_vs_zero_ms,ttft_tracks_shaping,corrected_server_stable
0.0,10,10,0.0,14.4,13.740000000000002,16.0,14.85,13.5,13.5,1.15,1.15,12.9,0.0,0.0,0.0,0.0,True,True
80.0,10,10,80.0,96.05,95.44,98.24000000000001,96.4,14.05,94.05,82.19999999999999,2.2,13.085,81.64999999999999,80.0,81.04999999999998,1.0500000000000003,True,True
