configured_delay_ms,valid_samples,total_samples,median_shaped_ms,median_ttft_ms,p10_ttft_ms,p90_ttft_ms,median_total_ms,median_transport_network_ms,median_effective_network_ms,median_raw_server_ttft_ms,median_corrected_server_ttft_ms,median_response_headers_ms,delta_ttft_vs_zero_ms,delta_shaped_vs_zero_ms,delta_raw_server_vs_zero_ms,delta_corrected_server_vs_zero_ms,ttft_tracks_shaping,corrected_server_stable
0.0,10,10,0.0,154.85,150.45999999999998,376.4599999999997,834.15,10.05,10.05,145.25,145.25,9.305,0.0,0.0,0.0,0.0,True,True
80.0,10,10,80.0,198.1,195.07,362.31,841.25,9.45,89.45,187.89999999999998,107.9,8.68,43.25,80.0,42.64999999999998,-37.349999999999994,False,False
