backend,prompt_tokens,requested_output_tokens,concurrency,cache_state,median_realized_cached_fraction,cache_valid_batches,total_batches,valid_requests,total_requests,median_ttft_ms,p90_ttft_ms,median_tpot_ms,p90_tpot_ms,median_e2e_ms,p90_e2e_ms,median_request_decode_tokens_per_s,p10_request_decode_tokens_per_s,median_batch_output_tokens_per_s,p10_batch_output_tokens_per_s,measured_output_tokens
edge,2048,128,1,cold,0.0,10,10,10,10,294.932,296.386,6.134,6.135,1074.324,1075.198,163.036,163.0,119.131,119.033,1280
edge,2048,128,1,warm,0.9922,10,10,10,10,36.874,38.595,6.13,6.136,816.043,818.453,163.121,162.974,156.822,156.358,1280
